"dpmc","cpmc","cpjg","cpxl","splj","cppj"
"三星官方旗舰店","Samsung/三星 Galaxy S8+ SM-G9550全视曲面屏 骁龙835 虹膜识别","¥5499.00","该款月成交 3178笔","https://detail.tmall.com/item.htm?id=549984903510&skuId=4611686568412291414&user_id=370627083&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"vivo官方旗舰店","vivo Y755.7英寸全面屏 面部识别","¥1498.00","该款月成交 2.2万笔","https://detail.tmall.com/item.htm?id=562658733506&skuId=3537029588906&user_id=883737303&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"vivo官方旗舰店","vivo Y55A5.2英寸 高通骁龙八核","¥999.00","该款月成交 3006笔","https://detail.tmall.com/item.htm?id=539365805409&skuId=3195414046265&user_id=883737303&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"三星官方旗舰店","Samsung/三星 Galaxy S8+ SM-G9550 6+128GB全视曲面屏 骁龙835 虹膜识别","¥6299.00","该款月成交 1076笔","https://detail.tmall.com/item.htm?id=550042674628&skuId=4611686568470062532&user_id=370627083&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"oppo手机官方旗舰店","OPPO A73","¥1699.00","该款月成交 3759笔","https://detail.tmall.com/item.htm?id=562730169870&skuId=3704468098705&user_id=901409638&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"oppo手机官方旗舰店","OPPO A79充电更快的全面屏手机","¥2099.00","该款月成交 6470笔","https://detail.tmall.com/item.htm?id=561770065203&skuId=3522247916764&user_id=901409638&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"君问数码官方旗舰店","SMARTISAN/锤子 坚果pro3500mAh大电池长续航","¥1099.00","该款月成交 6029笔","https://detail.tmall.com/item.htm?id=550478519777&skuId=3557734508809&user_id=1115488308&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"君问数码官方旗舰店","SMARTISAN/锤子 坚果 Pro 2骁龙660 八核处理器","¥2399.00","该款月成交 1.1万笔","https://detail.tmall.com/item.htm?id=561282011241&skuId=3715343331839&user_id=1115488308&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"魅族官方旗舰店","Meizu/魅族 PRO 7画屏之窗 定制双摄","¥1999.00","该款月成交 8206笔","https://detail.tmall.com/item.htm?id=555850828895&skuId=3437168433725&user_id=1695308781&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"魅族官方旗舰店","Meizu/魅族 PRO 7 Plus","¥2799.00","该款月成交 1787笔","https://detail.tmall.com/item.htm?id=556026351191&skuId=3601601482629&user_id=1695308781&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
